"COUNTY","TOTAL_ENTILATORS_ON_SITE","TOTAL_SURGE_CAPACITY_BEDS","TOTAL_SURGE_CAPACITY_BEDS_IN_USE","TOTAL_SURGE_CAPACITY_OCCUPANCY","TOTAL_ICU_STAFFED_BEDS","TOTAL_ICU_AVAILABLE_BEDS","TOTAL_ICU_OCCUPANCY","TOTAL_LICENSED_BED_COUNT","TOTAL_ICU_BED_COUNT"
"Alameda",467,868,0,0,406,196,210,3014,476
"Amador",8,0,0,NA,5,0,5,52,6
"Butte",40,157,0,0,38,11,27,425,62
"Calaveras",4,17,0,0,12,10,2,25,8
"Colusa",3,40,0,0,6,6,0,42,6
"Contra Costa",280,293,0,0,260,164,96,1637,272
"Del Norte",18,0,0,NA,6,6,0,49,6
"El Dorado",42,70,0,0,16,7,9,174,28
"Fresno",266,721,43,16,270,82,188,1750,253
"Glenn",1,65,0,0,0,NA,0,47,0
"Humboldt",26,121,8,100,20,3,17,290,31
"Imperial",76,23,0,0,20,0,20,268,35
"Inyo",30,11,0,0,4,3,1,29,4
"Kern",285,695,7,14,222,89,133,1510,232
"Kings",40,50,0,0,16,1,15,173,22
"Lake",20,33,0,0,8,2,6,62,8
"Lassen",6,40,0,0,0,NA,0,25,0
"Los Angeles",4159,5241,107,341,3369,1398,1971,21693,3320
"Madera",137,171,0,0,95,15,80,464,168
"Marin",104,38,0,0,30,14,16,448,38
"Mariposa",4,16,0,0,0,NA,0,18,0
"Mendocino",32,44,0,0,16,10,6,143,20
"Merced",46,20,0,0,19,4,15,226,24
"Modoc",4,35,0,0,0,NA,0,20,0
"Mono",11,40,0,0,2,2,0,17,2
"Monterey",187,260,8,23,129,91,38,678,64
"Napa",38,195,0,0,24,6,18,351,54
"Nevada",29,54,0,0,10,3,7,137,8
"Orange",1097,1519,76,321,1013,413,600,6034,946
"Placer",167,160,0,0,142,58,84,732,122
"Plumas",6,33,5,41,0,NA,0,35,0
"Riverside",707,904,93,374,456,104,352,3623,497
"Sacramento",656,803,0,0,498,181,317,2867,532
"San Benito",8,0,0,NA,4,1,3,25,4
"San Bernardino",809,1139,30,93,621,128,493,4003,722
"San Diego",1039,1247,4,67,1013,357,656,6509,995
"San Francisco",515,513,15,12,315,140,175,2724,513
"San Joaquin",247,348,11,17,155,58,97,1114,171
"San Luis Obispo",80,72,0,0,38,21,17,449,70
"San Mateo",203,274,3,2,92,60,32,1062,115
"Santa Barbara",178,372,0,0,107,36,71,848,122
"Santa Clara",1046,754,0,0,532,229,303,3868,729
"Santa Cruz",51,77,0,0,33,13,20,356,37
"Shasta",84,190,0,0,41,4,37,574,86
"Siskiyou",18,34,0,0,8,4,4,61,8
"Solano",138,96,0,0,86,46,40,676,114
"Sonoma",103,131,0,0,107,58,49,722,107
"Stanislaus",229,184,0,0,193,86,107,1378,179
"Sutter",1,0,0,NA,0,NA,0,14,0
"Tehama",21,15,0,0,8,4,4,76,8
"Trinity",2,10,0,0,0,NA,0,25,0
"Tulare",124,89,8,50,55,6,49,732,84
"Tuolumne",12,52,0,0,6,4,2,84,6
"Ventura",247,416,0,0,138,38,100,1353,214
"Yolo",43,0,0,NA,9,0,9,122,18
"Yuba",51,102,0,0,24,6,18,221,30
