Continent,Country,Province,Day,Total.Detected,Active,Active.Hospitalized,Cumulative.Hospitalized,Total.Detected.Deaths,Active.Ventilated,date
North America,US,California,2020-06-22,182361,40990,8097,27353,6431,1451,2020-06-22
North America,US,California,2020-06-23,185480,41336,8173,27821,6542,1463,2020-06-23
North America,US,California,2020-06-24,188616,41676,8247,28291,6653,1475,2020-06-24
North America,US,California,2020-06-25,191766,42009,8321,28764,6765,1486,2020-06-25
North America,US,California,2020-06-26,194931,42335,8393,29239,6877,1497,2020-06-26
North America,US,California,2020-06-27,198111,42654,8463,29716,6989,1508,2020-06-27
North America,US,California,2020-06-28,201303,42966,8533,30195,7103,1519,2020-06-28
North America,US,California,2020-06-29,204508,43269,8601,30675,7216,1529,2020-06-29
North America,US,California,2020-06-30,207725,43565,8668,31158,7330,1540,2020-06-30
North America,US,California,2020-07-01,210952,43853,8733,31642,7445,1549,2020-07-01
North America,US,California,2020-07-02,214191,44133,8797,32128,7560,1559,2020-07-02
North America,US,California,2020-07-03,217439,44405,8859,32615,7675,1568,2020-07-03
North America,US,California,2020-07-04,220696,44668,8920,33103,7791,1577,2020-07-04
North America,US,California,2020-07-05,223961,44922,8979,33593,7906,1586,2020-07-05
North America,US,California,2020-07-06,227233,45168,9037,34084,8022,1594,2020-07-06
North America,US,California,2020-07-07,230513,45404,9093,34576,8139,1602,2020-07-07
North America,US,California,2020-07-08,233798,45632,9147,35069,8256,1610,2020-07-08
North America,US,California,2020-07-09,237089,45850,9199,35562,8372,1617,2020-07-09
North America,US,California,2020-07-10,240384,46059,9250,36057,8489,1624,2020-07-10
North America,US,California,2020-07-11,243682,46259,9299,36551,8607,1631,2020-07-11
North America,US,California,2020-07-12,246984,46449,9346,37047,8724,1637,2020-07-12
North America,US,California,2020-07-13,250288,46630,9392,37542,8841,1643,2020-07-13
North America,US,California,2020-07-14,253593,46800,9435,38038,8959,1648,2020-07-14
North America,US,California,2020-07-15,256899,46961,9477,38534,9076,1654,2020-07-15
North America,US,California,2020-07-16,260205,47112,9517,39030,9193,1659,2020-07-16
North America,US,California,2020-07-17,263510,47252,9555,39526,9311,1663,2020-07-17
North America,US,California,2020-07-18,266813,47383,9590,40021,9428,1667,2020-07-18
North America,US,California,2020-07-19,270114,47504,9624,40516,9545,1671,2020-07-19
North America,US,California,2020-07-20,273412,47614,9656,41011,9663,1675,2020-07-20
North America,US,California,2020-07-21,276706,47714,9686,41505,9780,1678,2020-07-21
North America,US,California,2020-07-22,279995,47804,9714,41998,9897,1680,2020-07-22
North America,US,California,2020-07-23,283280,47883,9740,42491,10013,1683,2020-07-23
North America,US,California,2020-07-24,286558,47952,9764,42983,10130,1685,2020-07-24
North America,US,California,2020-07-25,289829,48010,9786,43473,10246,1686,2020-07-25
North America,US,California,2020-07-26,293093,48058,9806,43963,10362,1688,2020-07-26
North America,US,California,2020-07-27,296349,48095,9824,44451,10478,1688,2020-07-27
North America,US,California,2020-07-28,299596,48123,9839,44938,10594,1689,2020-07-28
North America,US,California,2020-07-29,302833,48139,9853,45424,10709,1689,2020-07-29
North America,US,California,2020-07-30,306060,48145,9865,45908,10824,1689,2020-07-30
North America,US,California,2020-07-31,309276,48141,9874,46390,10938,1688,2020-07-31
North America,US,California,2020-08-01,312480,48127,9882,46871,11052,1687,2020-08-01
North America,US,California,2020-08-02,315672,48102,9887,47350,11166,1686,2020-08-02
North America,US,California,2020-08-03,318851,48066,9890,47827,11279,1684,2020-08-03
North America,US,California,2020-08-04,322017,48021,9892,48302,11391,1682,2020-08-04
North America,US,California,2020-08-05,325169,47965,9891,48774,11504,1680,2020-08-05
North America,US,California,2020-08-06,328305,47899,9888,49245,11615,1677,2020-08-06
North America,US,California,2020-08-07,331426,47824,9883,49713,11726,1674,2020-08-07
North America,US,California,2020-08-08,334531,47738,9876,50179,11837,1670,2020-08-08
North America,US,California,2020-08-09,337620,47642,9867,50642,11947,1667,2020-08-09
North America,US,California,2020-08-10,340691,47536,9856,51103,12056,1662,2020-08-10
North America,US,California,2020-08-11,343745,47421,9843,51561,12165,1658,2020-08-11
North America,US,California,2020-08-12,346780,47296,9828,52016,12273,1653,2020-08-12
North America,US,California,2020-08-13,349797,47161,9811,52469,12381,1648,2020-08-13
North America,US,California,2020-08-14,352794,47017,9792,52918,12487,1642,2020-08-14
North America,US,California,2020-08-15,355772,46864,9771,53365,12593,1636,2020-08-15
