date,Rt
2020-03-22,2.25084876241545
2020-03-23,2.19116319491869
2020-03-24,2.13171227503511
2020-03-25,2.07250311290584
2020-03-26,2.01367431555377
2020-03-27,1.95553159676746
2020-03-28,1.89811284469071
2020-03-29,1.84165215101596
2020-03-30,1.78637105116231
2020-03-31,1.73238916080893
2020-04-01,1.67990512617801
2020-04-02,1.62920183954761
2020-04-03,1.58051756570971
2020-04-04,1.53418063221289
2020-04-05,1.49043590920964
2020-04-06,1.44941771598843
2020-04-07,1.41132726279533
2020-04-08,1.37618976814359
2020-04-09,1.34398115486058
2020-04-10,1.31467726212491
2020-04-11,1.2883647059975
2020-04-12,1.2647806008296
2020-04-13,1.24386924845496
2020-04-14,1.22546992057224
2020-04-15,1.20936927807506
2020-04-16,1.195218257886
2020-04-17,1.1756386379353
2020-04-18,1.1620930888437
2020-04-19,1.15213723765647
2020-04-20,1.14425596667012
2020-04-21,1.13765973519578
2020-04-22,1.13209708145513
2020-04-23,1.1272740768545
2020-04-24,1.12294818775313
2020-04-25,1.11899528702315
2020-04-26,1.11537879286321
2020-04-27,1.11214372479904
2020-04-28,1.10922900385405
2020-04-29,1.1066361612073
2020-04-30,1.1042988887271
2020-05-01,1.10226631838625
2020-05-02,1.100596060478
2020-05-03,1.09917103922421
2020-05-04,1.09799486481649
2020-05-05,1.09709951115247
2020-05-06,1.09646460921474
2020-05-07,1.09594371494487
2020-05-08,1.0954780257558
2020-05-09,1.09488972691983
2020-05-10,1.0941242562829
2020-05-11,1.09315384053681
2020-05-12,1.09188360433546
2020-05-13,1.09010300226875
2020-05-14,1.08787654478031
2020-05-15,1.08518594635712
2020-05-16,1.08222782163865
2020-05-17,1.0802030315625
2020-05-18,1.08316042024028
2020-05-19,1.08211586627987
2020-05-20,1.07982857008569
2020-05-21,1.07692972234369
2020-05-22,1.07366541818634
2020-05-23,1.07011375273083
2020-05-24,1.06633722498798
2020-05-25,1.06250991941309
2020-05-26,1.05877194341093
2020-05-27,1.05526071075341
2020-05-28,1.05216300266941
2020-05-29,1.04970324929405
2020-05-30,1.04792322899441
2020-05-31,1.04674470036973
2020-06-01,1.04637276771293
2020-06-02,1.04666281797225
2020-06-03,1.04749165133867
2020-06-04,1.04876783539319
2020-06-05,1.05043625862961
2020-06-06,1.05216561043729
2020-06-07,1.05373343525516
2020-06-08,1.05480125316522
2020-06-09,1.05516827333875
2020-06-10,1.054658513242
2020-06-11,1.05307328408158
2020-06-12,1.05027946183786
2020-06-13,1.04622332261083
2020-06-14,1.04083120608825
2020-06-15,1.03404868344545
2020-06-16,1.02600809003633
2020-06-17,1.01686204068115
2020-06-18,1.00677438854905
2020-06-19,0.996016294584055
2020-06-20,0.984757222024619
2020-06-21,0.973190383617161
2020-06-22,0.961649584751241
2020-06-23,0.95027239455772
2020-06-24,0.939212239655402
2020-06-25,0.928711962543522
2020-06-26,0.918976036276282
2020-06-27,0.910190605836726
2020-06-28,0.902410274226556
2020-06-29,0.89560690948883
2020-06-30,0.889778044491557
2020-07-01,0.884905311184469
2020-07-02,0.880929013990595
2020-07-03,0.877691700596516
2020-07-04,0.875082384669929
2020-07-05,0.872754537730045
2020-07-06,0.869974592856028
2020-07-07,0.86395917203381
2020-07-08,0.863689308231235
2020-07-09,0.86500107341608
2020-07-10,0.866885963592199
2020-07-11,0.868936277533974
2020-07-12,0.87111910336309
2020-07-13,0.873258322935669
2020-07-14,0.875374491580355
2020-07-15,0.877523287969483
2020-07-16,0.879665293752231
2020-07-17,0.881826232922374
2020-07-18,0.883952524567715
2020-07-19,0.886086196604086
2020-07-20,0.888216915557948
2020-07-21,0.8903052745414
2020-07-22,0.89236041378391
2020-07-23,0.894406453181107
2020-07-24,0.896408334094838
2020-07-25,0.898347484881624
2020-07-26,0.900266304204355
2020-07-27,0.902135667192485
2020-07-28,0.903936081222934
2020-07-29,0.905652203984923
2020-07-30,0.907289195531893
2020-07-31,0.908816880226065
2020-08-01,0.910268383467565
2020-08-02,0.911645144009534
2020-08-03,0.912969171194208
2020-08-04,0.914286451078219
2020-08-05,0.915484728221523
