COUNTY,REGION,POPULATION
Del Norte,Northern California,27424
Humboldt,Northern California,135768
Lake,Northern California,64148
Lassen,Northern California,31185
Mendocino,Northern California,87422
Modoc,Northern California,8938
Nevada,Northern California,99092
Plumas,Northern California,18699
Sierra,Northern California,2930
Siskiyou,Northern California,43540
Trinity,Northern California,12862
Los Angeles,Southern California,10098052
Orange,Southern California,3164182
Riverside,Southern California,2383286
San Bernardino,Southern California,2135413
Ventura,Southern California,848112
Alameda,Bay Area,1643700
Contra Costa,Bay Area,1133247
Marin,Bay Area,260295
Napa,Bay Area,140530
San Benito,Bay Area,59416
San Francisco,Bay Area,870044
San Mateo,Bay Area,765935
Santa Clara,Bay Area,1922200
Santa Cruz,Bay Area,273765
Solano,Bay Area,438530
Sonoma,Bay Area,501317
Imperial,Southern Border,180216
San Diego,Southern Border,3302833
El Dorado,Greater Sacramento,186661
Placer,Greater Sacramento,380077
Sacramento,Greater Sacramento,1510023
Sutter,Greater Sacramento,95872
Yolo,Greater Sacramento,214977
Yuba,Greater Sacramento,75493
Fresno,San Joaquin Valley,978130
Kern,San Joaquin Valley,883053
Kings,San Joaquin Valley,150075
Madera,San Joaquin Valley,155013
Merced,San Joaquin Valley,269075
San Joaquin,San Joaquin Valley,732212
Stanislaus,San Joaquin Valley,539301
Tulare,San Joaquin Valley,460477
Butte,Northern Sacramento Valley,227075
Colusa,Northern Sacramento Valley,21464
Glenn,Northern Sacramento Valley,27897
Shasta,Northern Sacramento Valley,179085
Tehama,Northern Sacramento Valley,63373
Monterey,Central Coast,433212
San Luis Obispo,Central Coast,281455
Santa Barbara,Central Coast,443738
Alpine,Central Sierra,1146
Amador,Central Sierra,37829
Calaveras,Central Sierra,45235
Inyo,Central Sierra,18085
Mariposa,Central Sierra,17540
Mono,Central Sierra,14174
Tuolumne,Central Sierra,53932
